iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,dataFimleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniciativasOriginadas,iniEventos,iniAutorDeputados,iniAutorOutros,iniId,iniAutorGruposParlamentares,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,idComissao,nomeComissao,competenteComissao,resultado,descricao,reuniao,tipoReuniao,PS,PSD,BE,PCP,CDS-PP,PAN,PEV,CH,Cristina Rodrigues (Ninsc),Joacine Katar Moreira (Ninsc),IL,data,iniAnexos,unanime,iniTextoSubstCampo,iniObs,L,publicacao,ausencias,peticoes,iniciativasOrigem,ano,leg
366,88004,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Cria o regime de apoio à retoma e dinamização da atividade dos feirantes e empresas de diversões itinerantes, no contexto da resposta à epidemia de COVID-19",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596a55314e4463784e6a41744d4749774f4330305a6a6b7a4c5467315a6d5174596a6b314d324a6c4d4759345a47566d4c6d527659773d3d&fich=b5547160-0b08-4f93-85fd-b953be0f8def.doc&Inline=true,,"
      ","
      ","
      ",44823,PCP,Votação final global,G,Grupos Parlamentares,PCP,7364,"Comissão de Economia, Inovação, Obras Públicas e Habitação",S,Aprovado,"Texto Final apresentado pela Comissão de Economia, Inovação, Obras Públicas e Habitação relativo aos Projetos de Lei n.º 366/XIV/1.ª (PCP), 431/XIV/1.ª (BE) e 432/XIV/1.ª (BE)",75,RP,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,Ausência,Abstenção,2020-07-10,"
      ",,Texto inicial substituído a pedido do autor em 03-06-2020,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
248,87982,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Revoga benefícios fiscais atribuídos aos Partidos Políticos, diminui os limites das despesas de campanha eleitoral e reestabelece limites das receitas de angariação de fundos (oitava alteração à Lei n.º 19/2003, de 20 de Junho)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e4445344f4449324d574d745a574e685a5330304e4442684c57497a597a4d745a474a685a5449775a6a67354e57597a4c6d527659773d3d&fich=4188261c-ecae-440a-b3c3-dbae20f895f3.doc&Inline=true,,"
      ","
      ","
      ",44550,PAN,Votação na generalidade,G,Grupos Parlamentares,PAN,7264,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,Rejeitado,,75,RP,Contra,Contra,Abstenção,Contra,Contra,A Favor,Contra,Abstenção,A Favor,Ausência,A Favor,2020-07-10,"
      ",,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
452,88016,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Garantia de aumento da oferta de transportes públicos, em época de desconfinamento, e aceleração da concretização da estratégia nacional para a utilização da bicicleta",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d3251774d475a6a4e324574596d52694e6930304d44526d4c57466d596a6b74597a426b4d324a6c4f545179595451794c6d52765933673d&fich=3d00fc7a-bdb6-404f-afb9-c0d3be942a42.docx&Inline=true,,"
      ","
      ","
      ",44861,PEV,Votação final global,G,Grupos Parlamentares,PEV,7464,"Comissão de Ambiente, Energia e Ordenamento do Território",S,Aprovado,"Texto Final apresentado pela Comissão de Ambiente, Energia e  Ordenamento do Território relativo aos Projetos de Resolução n.os 448/XIV/1.ª (PAN), 452/XIV/1.ª (PEV), 499/XIV/1.ª (PSD) e 505/XIV/1.ª (PS).",75,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,Abstenção,A Favor,Ausência,Abstenção,2020-07-10,,,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
448,88015,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,"Recomenda ao Governo que promova os meios activos de transporte, durante e após a crise da Covid-19",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596a6b344d474d35595441744e6d5932597930304e6a55784c5745794e4745744d474a694d3251314f4449304d7a5a684c6d527659773d3d&fich=b980c9a0-6f6c-4651-a24a-0bb3d582436a.doc&Inline=true,,"
      ","
      ","
      ",44854,PAN,Votação final global,G,Grupos Parlamentares,PAN,7464,"Comissão de Ambiente, Energia e Ordenamento do Território",S,Aprovado,"Texto Final apresentado pela Comissão de Ambiente, Energia e  Ordenamento do Território relativo aos Projetos de Resolução n.os 448/XIV/1.ª (PAN), 452/XIV/1.ª (PEV), 499/XIV/1.ª (PSD) e 505/XIV/1.ª (PS).",75,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,Abstenção,A Favor,Ausência,Abstenção,2020-07-10,,,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
523,88001,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Alargamento da oferta de serviços de programas na televisão digital terrestre (TDT),NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d6d4d314e54526c5a6d55744f54466d597930304d4441314c546c6b593249744d7a4579596d45794e5441355a545a6b4c6d527659773d3d&fich=2c554efe-91fc-4005-9dcb-312ba2509e6d.doc&Inline=true,,"
      ","
      ","
      ",45025,PSD,Votação na generalidade,G,Grupos Parlamentares,PSD,7484,Comissão de Cultura e Comunicação,S,Aprovado,,75,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Ausência,A Favor,2020-07-10,,,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
456,87958,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Alarga o prazo para a realização por meios de comunicação à distância das reuniões dos órgãos das autarquias locais e das entidades intermunicipais, procedendo à 5.ª alteração à Lei n.º 1-A/2020, de 19 de março",SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5452685a446c6c4d6a637459545a6b595330304e6d526b4c546b354e474d74597a4e684d545534596a51774f5749344c6d527659773d3d&fich=54ad9e27-a6da-46dd-994c-c3a158b409b8.doc&Inline=true,,"
      ","
      ","
      ",45064,PS,Votação na generalidade,G,Grupos Parlamentares,PS,7504,"Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local",S,Aprovado,,75,RP,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,Ausência,Abstenção,2020-07-10,"
      ",,Título inicial e artigo 1.º substituídos a pedido do autor em 01-07-2020,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
243,87944,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Impede o apoio institucional à realização de espetáculos que inflijam sofrimento físico ou psíquico ou provoquem a morte de animais,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f5756684d5745324d3245744d474d34596930304e6a566a4c546b774e3255744e7a6730596a6730597a6b334d57557a4c6d527659773d3d&fich=9ea1a63a-0c8b-465c-907e-784b84c971e3.doc&Inline=true,,"
      ","
      ","
      ",44545,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7484,Comissão de Cultura e Comunicação,S,Rejeitado,,75,RP,A Favor,Contra,A Favor,Contra,Contra,A Favor,A Favor,Contra,A Favor,Ausência,A Favor,2020-07-10,"
      ",,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
241,87981,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Procede à oitava alteração à lei n.º 19/2003, de 20 de junho, introduzindo medidas de justiça fiscal e igualdade de tratamento",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d3249795a4751324d6a55744d5467355a4330304e7a4a6d4c574a684e5449744f574a6d4d324d774e6a5a6c4f445a6a4c6d527659773d3d&fich=3b2dd625-189d-472f-ba52-9bf3c066e86c.doc&Inline=true,,"
      ","
      ","
      ",44543,BE,Votação na generalidade,G,Grupos Parlamentares,BE,7264,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,Rejeitado,,75,RP,Contra,Contra,A Favor,Contra,A Favor,A Favor,Contra,A Favor,A Favor,Ausência,A Favor,2020-07-10,"
      ",,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
240,87980,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Elimina os benefícios fiscais dos partidos políticos e reduz o valor das subvenções públicas (8ª alteração à Lei de Financiamento dos Partidos Políticos, Lei n.º 19/2003, de 20 de junho)",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474e68595745354e4445744e54646d4f5330305a6a6c6b4c57497a4d5445745a544d344f5441774d6a646d596d45324c6d527659773d3d&fich=4caaa941-57f9-4f9d-b311-e3890027fba6.doc&Inline=true,,"
      ","
      ","
      ",44541,IL,Votação na generalidade,G,Grupos Parlamentares,IL,7264,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias",S,Rejeitado,,75,RP,Contra,Contra,Abstenção,Contra,Abstenção,Abstenção,Contra,A Favor,A Favor,Ausência,A Favor,2020-07-10,"
      ",,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
518,88013,I,R,Projeto de Resolução,XIV,1,2019-10-25,2020-09-14,Recomenda ao Governo o apoio urgente aos produtores afetados por eventos meteorológicos extremos e promoção de sistemas de produção agrícola diversificados,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d6d59345a6a63334d324d744e324e684f4330304e4441344c574a684d32517459544a6a596a677759545a6c5a574e694c6d527659773d3d&fich=2f8f773c-7ca8-4408-ba3d-a2cb80a6eecb.doc&Inline=true,,"
      ","
      ","
      ",45014,BE,Votação final global,G,Grupos Parlamentares,BE,7384,Comissão de Agricultura e Mar,S,Aprovado,"Texto Final apresentado pela Comissão de Agricultura e Mar relativo aos Projetos de Resolução n.os 506/XIV/1.ª (PSD) , 513/XIV/1.ª (PS), 514/XIV/1.ª (CDS-PP), 518/XIV/1.ª (BE), 536/XIV/1.ª (PCP)",75,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Ausência,Abstenção,2020-07-10,,,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
463,88036,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,"Altera a carreira especial de técnico superior das áreas de diagnóstico e terapêutica, de forma a valorizar os trabalhadores",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e4455794d474a684e7a63744d5442684f4330304d7a52684c5467344f5759744f4749774d6a4a6c595467314e54646a4c6d527659773d3d&fich=4520ba77-10a8-434a-889f-8b022ea8557c.doc&Inline=true,,"
      ","
      ","
      ",45090,BE,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,BE,7504,"Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local",S,Aprovado,"Requerimento, apresentado pelo BE solicitando a baixa à Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local, sem votação, por 60 dias, do Projeto de Lei n.º 463/XIV/1.ª (BE)",75,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Ausência,A Favor,2020-07-10,"
      ",unanime,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
462,87942,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Valorização da Carreira de Técnico Superior de Diagnóstico e Terapêutica,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e3245304f474d335a4755745a57466b5a6930304f4759784c5468684e5441744e5745794e44686d595755324e5446694c6d527659773d3d&fich=7a48c7de-eadf-48f1-8a50-5a248fae651b.doc&Inline=true,,"
      ","
      ","
      ",45078,PCP,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,PCP,7504,"Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local",S,Aprovado,"Requerimento, apresentado pelo PCP solicitando a baixa à Comissão de Administração Pública, Modernização Administrativa, Descentralização e Poder Local, sem votação, por 60 dias, do Projeto de Lei n.º 462/XIV/1.ª (PCP)",75,RP,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Ausência,A Favor,2020-07-10,"
      ",unanime,,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
440,88019,I,J,Projeto de Lei,XIV,1,2019-10-25,2020-09-14,Aprova um conjunto de medidas excecionais e temporárias para salvaguarda dos direitos dos trabalhadores e estudantes do Ensino Superior Público,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c6379395953565a4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5455304e6a566b4f5745744f54646d4e6930305a444d784c54686b5a4751744e4459334d54526b5a6a6c6a4f57466a4c6d527659773d3d&fich=55465d9a-97f6-4d31-8ddd-46714df9c9ac.doc&Inline=true,,"
      ","
      ","
      ",44982,PCP,Votação na generalidade,G,Grupos Parlamentares,PCP,7404,"Comissão de Educação, Ciência, Juventude e Desporto",S,Aprovado,"Texto de Substituição apresentado pela Comissão de Educação, Ciência, Juventude e Desporto relativo ao Projeto de Lei n.º 440/XIV/1.ª (PCP)",75,RP,A Favor,Abstenção,A Favor,A Favor,Abstenção,A Favor,A Favor,A Favor,A Favor,Ausência,A Favor,2020-07-10,"
      ",,Texto inicial substituído a pedido do autor em 08-06-2020,,,,JOACINE KATAR MOREIRA (Ninsc),,,2020,l14
